kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A10027565,우방아이유쉘1단지아파트,"경기도 화성효행구 봉담읍 수영리 674,경기도 화성효행구 봉담읍 수영리 674 우방아이유쉘1단지아파트",경기도 화성시 수영로 60-10,2016-04-29,20160429,488,6,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""봉담읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027529,(주)이오티앤디 반월자이더 파크아파트,경기도 화성병점구 반월동 959 (주)이오티앤디 반월자이더 파크아파트,경기도 화성시 동탄지성로 395-6,2016-04-29,20160429,468,8,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""반월동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027469,화성남양뉴타운lh4단지,경기도 화성만세구 남양읍 남양리 2233 화성남양뉴타운lh4단지,경기도 화성시 시청로45번길 96,2016-05-27,20160527,876,6,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""남양읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027427,서봉마을 5단지,경기도 화성만세구 향남읍 하길리 1477 서봉마을 5단지,경기도 화성시 상신하길로273번길 60,2016-06-17,20160617,1242,9,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027386,동탄2 경남아너스빌아파트,경기도 화성동탄구 영천동 677 동탄2 경남아너스빌아파트,경기도 화성시 동탄순환대로25길 21,2016-07-20,20160720,344,4,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027465,동탄2 반도유보라아이비파크3차아파트,"경기도 화성동탄구 여울동 474-9,경기도 화성동탄구 여울동 474-9 동탄2 반도유보라아이비파크3차아파트",경기도 화성시 동탄대로12길 17,2016-07-20,20160720,1135,17,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027436,동탄2 금강펜테리움 1차아파트,경기도 화성동탄구 여울동 967-2269 동탄2 금강펜테리움 1차아파트,경기도 화성시 동탄대로12길 64,2016-07-25,20160725,827,13,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027423,향남7단지 부영아파트,경기도 화성만세구 향남읍 하길리 1474 향남7단지 부영아파트,경기도 화성시 상신하길로274번길 21,2016-08-03,20160803,948,11,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027334,신안인스빌리베라2차아파트,경기도 화성동탄구 청계동 547 신안인스빌리베라2차아파트,경기도 화성시 동탄청계로 303-13,2016-10-18,20161018,644,8,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027187,화성남양LH9단지,경기도 화성만세구 남양읍 남양리  화성남양LH9단지,경기도 화성시 남양중앙로 316,2016-10-28,20161028,782,5,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""남양읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
